node_id,node_name,node_kind,inst_name,cell_name,port_name,io_type,is_sequential_cell,is_buffer_cell,is_inverter_cell,is_clock_pin,is_endpoint,x_um,y_um,inst_x_um,inst_y_um,cell_area_um2,port_cap_max_f,port_cap_min_f
218,_406_/ZN,iterm,_406_,INV_X1,ZN,OUTPUT,0,0,1,0,0,24.0275,25.9,23.75,25.2,nan,0.0,0.0
219,_408_/A,iterm,_408_,XNOR2_X2,A,INPUT,0,0,0,0,0,24.415,28.7875,23.37,28.0,nan,4.003783287168886e-15,3.802061120230854e-15
220,_407_/ZN,iterm,_407_,AOI21_X2,ZN,OUTPUT,0,0,0,0,0,24.7285,26.086,24.13,25.2,nan,0.0,0.0
221,_411_/A,iterm,_411_,OAI21_X4,A,INPUT,0,0,0,0,0,25.9325,25.9875,25.46,25.2,nan,6.194657722164657e-15,5.622910906284478e-15
222,_409_/ZN,iterm,_409_,NAND3_X2,ZN,OUTPUT,0,0,0,0,0,30.1595,25.751,29.64,25.2,nan,0.0,0.0
223,_411_/B1,iterm,_411_,OAI21_X4,B1,INPUT,0,0,0,0,0,27.055,25.918,25.46,25.2,nan,6.351550246852782e-15,5.556047819494118e-15
224,_410_/ZN,iterm,_410_,AOI21_X4,ZN,OUTPUT,0,0,0,0,0,27.3985,24.4925,26.22,23.8,nan,0.0,0.0
225,_413_/A,iterm,_413_,AOI21_X4,A,INPUT,0,0,0,0,0,23.2675,24.4125,22.8,23.8,nan,6.139254144117701e-15,5.7661052141496066e-15
226,_430_/C2,iterm,_430_,AOI211_X2,C2,INPUT,0,0,0,0,0,19.7305,21.5215,18.43,21.0,nan,3.454374000657224e-15,2.815763886228448e-15
227,_411_/ZN,iterm,_411_,OAI21_X4,ZN,OUTPUT,0,0,0,0,0,26.813,25.761,25.46,25.2,nan,0.0,0.0
228,_413_/B1,iterm,_413_,AOI21_X4,B1,INPUT,0,0,0,0,0,24.4125,24.4815,22.8,23.8,nan,6.40187713293037e-15,5.613087018162223e-15
229,_412_/ZN,iterm,_412_,NOR2_X4,ZN,OUTPUT,0,0,0,0,0,23.8625,27.08,22.99,26.6,nan,0.0,0.0
230,_419_/A2,iterm,_419_,NOR2_X2,A2,INPUT,0,0,0,0,0,21.0525,24.493,20.52,23.8,nan,3.346923212616806e-15,3.1783259631470474e-15
231,place194/A,iterm,place194,BUF_X4,A,INPUT,0,1,0,0,0,21.585,24.4125,21.47,23.8,nan,3.4018920510035843e-15,3.0037010154663904e-15
232,_420_/A2,iterm,_420_,NAND2_X1,A2,INPUT,0,0,0,0,0,18.7425,23.1875,18.62,22.4,nan,1.664198983392822e-15,1.5022779417342034e-15
233,_413_/ZN,iterm,_413_,AOI21_X4,ZN,OUTPUT,0,0,0,0,0,23.9785,24.4925,22.8,23.8,nan,0.0,0.0
234,input15/A,iterm,input15,BUF_X1,A,INPUT,0,1,0,0,0,1.455,20.3875,1.33,19.6,nan,9.746590013071316e-16,8.752499970075052e-16
235,req_msg[22],bterm,,,req_msg[22],INPUT,0,0,0,0,0,0.07,20.79,nan,nan,nan,nan,nan
236,place220/A,iterm,place220,BUF_X1,A,INPUT,0,1,0,0,0,18.365,24.4125,18.24,23.8,nan,9.746590013071316e-16,8.752499970075052e-16
237,_427_/A3,iterm,_427_,OR4_X4,A3,INPUT,0,0,0,0,0,21.9735,25.904,21.28,25.2,nan,3.5047440854151218e-15,3.1840961633419805e-15
238,_415_/Z,iterm,_415_,XOR2_X2,Z,OUTPUT,0,0,0,0,0,20.4675,26.1445,19.38,25.2,nan,0.0,0.0
239,input14/A,iterm,input14,BUF_X1,A,INPUT,0,1,0,0,0,11.905,31.5875,11.78,30.8,nan,9.746590013071316e-16,8.752499970075052e-16
240,req_msg[21],bterm,,,req_msg[21],INPUT,0,0,0,0,0,11.295,33.755,nan,nan,nan,nan,nan
241,_427_/A4,iterm,_427_,OR4_X4,A4,INPUT,0,0,0,0,0,21.9235,25.8365,21.28,25.2,nan,3.61247397081166e-15,3.5099311034258703e-15
242,place219/A,iterm,place219,BUF_X1,A,INPUT,0,1,0,0,0,19.315,23.1875,19.19,22.4,nan,9.746590013071316e-16,8.752499970075052e-16
243,_418_/Z,iterm,_418_,XOR2_X2,Z,OUTPUT,0,0,0,0,0,17.6175,24.2555,16.53,23.8,nan,0.0,0.0
244,_421_/A,iterm,_421_,AOI21_X2,A,INPUT,0,0,0,0,0,21.1825,23.17,20.9,22.4,nan,3.1364058790709585e-15,2.938329977212619e-15
245,_419_/ZN,iterm,_419_,NOR2_X2,ZN,OUTPUT,0,0,0,0,0,20.8405,24.535,20.52,23.8,nan,0.0,0.0
246,_421_/B1,iterm,_421_,AOI21_X2,B1,INPUT,0,0,0,0,0,21.7325,23.17,20.9,22.4,nan,3.1297609055997485e-15,2.7258451978885365e-15
247,_420_/ZN,iterm,_420_,NAND2_X1,ZN,OUTPUT,0,0,0,0,0,18.995,23.3065,18.62,22.4,nan,0.0,0.0
248,_422_/B,iterm,_422_,XOR2_X1,B,INPUT,0,0,0,0,0,20.538,23.054,19.76,22.4,nan,2.411453037647342e-15,2.363548030524191e-15
249,_421_/ZN,iterm,_421_,AOI21_X2,ZN,OUTPUT,0,0,0,0,0,21.4985,23.286,20.9,22.4,nan,0.0,0.0
250,_425_/B1,iterm,_425_,AOI21_X1,B1,INPUT,0,0,0,0,0,16.985,23.1875,16.53,22.4,nan,1.6470030498932572e-15,1.4468230123148196e-15
251,_424_/A2,iterm,_424_,NAND3_X1,A2,INPUT,0,0,0,0,0,17.0325,21.6125,16.72,21.0,nan,1.6212249785721119e-15,1.5289770555063694e-15
