edge_id,src_node_id,dst_node_id,edge_type,net_name,net_sig_type,net_fanout,net_routed_length_um,net_cap_max_f,net_cap_min_f,net_wire_res_ohm_rcx,net_wire_cap_f_rcx,cell_arc_master,cell_arc_from_pin,cell_arc_to_pin
0,1,0,net,_000_,SIGNAL,1,6900.0,1.407079485275819e-15,1.3340125174215317e-15,32.82,2.795e-16,,,
1,3,2,net,_001_,SIGNAL,1,3860.0,1.3032454220410585e-15,1.2252973209491e-15,27.39,1.63e-16,,,
2,5,4,net,_002_,SIGNAL,1,2800.0,1.250210148114625e-15,1.1722621529017849e-15,15.25,1.099e-16,,,
3,14,6,net,_003_,SIGNAL,8,67720.0,2.5061438249087895e-14,2.3203669684995244e-14,216.7,3.738e-15,,,
4,14,7,net,_003_,SIGNAL,8,67720.0,2.5061438249087895e-14,2.3203669684995244e-14,216.7,3.738e-15,,,
5,14,8,net,_003_,SIGNAL,8,67720.0,2.5061438249087895e-14,2.3203669684995244e-14,216.7,3.738e-15,,,
6,14,9,net,_003_,SIGNAL,8,67720.0,2.5061438249087895e-14,2.3203669684995244e-14,216.7,3.738e-15,,,
7,14,10,net,_003_,SIGNAL,8,67720.0,2.5061438249087895e-14,2.3203669684995244e-14,216.7,3.738e-15,,,
8,14,11,net,_003_,SIGNAL,8,67720.0,2.5061438249087895e-14,2.3203669684995244e-14,216.7,3.738e-15,,,
9,14,12,net,_003_,SIGNAL,8,67720.0,2.5061438249087895e-14,2.3203669684995244e-14,216.7,3.738e-15,,,
10,14,13,net,_003_,SIGNAL,8,67720.0,2.5061438249087895e-14,2.3203669684995244e-14,216.7,3.738e-15,,,
11,16,15,net,_004_,SIGNAL,1,2460.0,1.245734849537807e-15,1.1677868543249668e-15,14.89,1.054e-16,,,
12,18,17,net,_005_,SIGNAL,1,5060.0,1.362328828848243e-15,1.2843808336354028e-15,20.04,2.22e-16,,,
13,20,19,net,_006_,SIGNAL,1,6840.0,1.4602939066705968e-15,1.3823459114577566e-15,32.46,3.2e-16,,,
14,22,21,net,_007_,SIGNAL,1,3100.0,1.2696309195292716e-15,1.1916829243164315e-15,26.04,1.293e-16,,,
15,24,23,net,_008_,SIGNAL,1,5240.0,1.37564821018558e-15,1.2977002149727399e-15,20.11,2.354e-16,,,
16,26,25,net,_009_,SIGNAL,1,1960.0,1.2459992296964687e-15,1.1680512344836285e-15,13.75,1.057e-16,,,
17,28,27,net,_010_,SIGNAL,1,4520.0,1.3237212788706288e-15,1.2457732836577886e-15,19.07,1.834e-16,,,
18,30,29,net,_011_,SIGNAL,1,1960.0,1.233133116865031e-15,1.155185121652191e-15,13.75,9.284e-17,,,
19,32,31,net,_012_,SIGNAL,1,5620.0,1.4177113369506365e-15,1.3397633417377964e-15,30.79,2.774e-16,,,
20,34,33,net,_013_,SIGNAL,1,7280.0,1.5330741538722385e-15,1.4551261586593983e-15,33.5,3.928e-16,,,
21,36,35,net,_014_,SIGNAL,1,3860.0,1.2860368889264034e-15,1.2080888937135632e-15,17.39,1.457e-16,,,
22,38,37,net,_015_,SIGNAL,1,1960.0,1.2175293935480676e-15,1.1395813983352274e-15,13.75,7.724e-17,,,
23,40,39,net,_016_,SIGNAL,1,2620.0,1.2519595887880604e-15,1.1740115935752202e-15,15.18,1.117e-16,,,
24,42,41,net,_017_,SIGNAL,1,3480.0,1.332169267849188e-15,1.2542212726363478e-15,26.96,1.919e-16,,,
25,44,43,net,_018_,SIGNAL,1,3580.0,1.3020489880030618e-15,1.2241009927902217e-15,26.89,1.618e-16,,,
26,46,45,net,_019_,SIGNAL,1,3860.0,1.2979234081543414e-15,1.2199754129415012e-15,17.39,1.576e-16,,,
