path_id,startpoint,endpoint,path_group,data_arrival_time_s,required_time_s,slack_s,rank
gcd__clk506ps__abc1__pd500__rlabase__path0001,dpath.a_reg.out[13]$_DFFE_PP_/Q,resp_msg[14],core_clock,4.192e-10,4.048e-10,-1.443e-11,1
gcd__clk506ps__abc1__pd500__rlabase__path0002,dpath.a_reg.out[1]$_DFFE_PP_/Q,resp_msg[13],core_clock,4.17e-10,4.048e-10,-1.223e-11,2
gcd__clk506ps__abc1__pd500__rlabase__path0003,dpath.a_reg.out[5]$_DFFE_PP_/Q,resp_msg[15],core_clock,4.166e-10,4.048e-10,-1.182e-11,3
gcd__clk506ps__abc1__pd500__rlabase__path0004,dpath.a_reg.out[5]$_DFFE_PP_/Q,resp_msg[7],core_clock,4.158e-10,4.048e-10,-1.099e-11,4
gcd__clk506ps__abc1__pd500__rlabase__path0005,dpath.a_reg.out[3]$_DFFE_PP_/Q,resp_msg[9],core_clock,4.141e-10,4.048e-10,-9.272e-12,5
gcd__clk506ps__abc1__pd500__rlabase__path0006,dpath.a_reg.out[5]$_DFFE_PP_/Q,resp_msg[11],core_clock,4.133e-10,4.048e-10,-8.473e-12,6
gcd__clk506ps__abc1__pd500__rlabase__path0007,dpath.a_reg.out[2]$_DFFE_PP_/Q,resp_msg[12],core_clock,4.104e-10,4.048e-10,-5.601e-12,7
gcd__clk506ps__abc1__pd500__rlabase__path0008,dpath.a_reg.out[1]$_DFFE_PP_/Q,resp_msg[3],core_clock,3.944e-10,4.048e-10,1.039e-11,8
gcd__clk506ps__abc1__pd500__rlabase__path0009,dpath.a_reg.out[2]$_DFFE_PP_/Q,resp_msg[8],core_clock,3.922e-10,4.048e-10,1.26e-11,9
gcd__clk506ps__abc1__pd500__rlabase__path0010,dpath.b_reg.out[6]$_DFFE_PP_/Q,resp_msg[10],core_clock,3.901e-10,4.048e-10,1.471e-11,10
gcd__clk506ps__abc1__pd500__rlabase__path0011,dpath.a_reg.out[2]$_DFFE_PP_/Q,resp_msg[4],core_clock,3.893e-10,4.048e-10,1.552e-11,11
gcd__clk506ps__abc1__pd500__rlabase__path0012,dpath.a_reg.out[1]$_DFFE_PP_/Q,resp_msg[5],core_clock,3.888e-10,4.048e-10,1.6e-11,12
