edge_id,src_node_id,dst_node_id,edge_type,net_name,net_sig_type,net_fanout,net_routed_length_um,net_cap_max_f,net_cap_min_f,net_wire_res_ohm_rcx,net_wire_cap_f_rcx,cell_arc_master,cell_arc_from_pin,cell_arc_to_pin
0,1,0,net,_000_,SIGNAL,1,2720.0,1.2656928515992496e-15,1.1926258837449623e-15,15.36,1.381e-16,,,
1,3,2,net,_001_,SIGNAL,1,8080.0,1.507424090405247e-15,1.4294760951924067e-15,35.68,3.671e-16,,,
2,5,4,net,_002_,SIGNAL,1,5760.0,1.442081851271682e-15,1.3641338560588419e-15,30.79,3.018e-16,,,
3,18,6,net,_003_,SIGNAL,12,111800.0,6.790706506224625e-14,6.285418149495903e-14,368.6,5.583e-15,,,
4,18,7,net,_003_,SIGNAL,12,111800.0,6.790706506224625e-14,6.285418149495903e-14,368.6,5.583e-15,,,
5,18,8,net,_003_,SIGNAL,12,111800.0,6.790706506224625e-14,6.285418149495903e-14,368.6,5.583e-15,,,
6,18,9,net,_003_,SIGNAL,12,111800.0,6.790706506224625e-14,6.285418149495903e-14,368.6,5.583e-15,,,
7,18,10,net,_003_,SIGNAL,12,111800.0,6.790706506224625e-14,6.285418149495903e-14,368.6,5.583e-15,,,
8,18,11,net,_003_,SIGNAL,12,111800.0,6.790706506224625e-14,6.285418149495903e-14,368.6,5.583e-15,,,
9,18,12,net,_003_,SIGNAL,12,111800.0,6.790706506224625e-14,6.285418149495903e-14,368.6,5.583e-15,,,
10,18,13,net,_003_,SIGNAL,12,111800.0,6.790706506224625e-14,6.285418149495903e-14,368.6,5.583e-15,,,
11,18,14,net,_003_,SIGNAL,12,111800.0,6.790706506224625e-14,6.285418149495903e-14,368.6,5.583e-15,,,
12,18,15,net,_003_,SIGNAL,12,111800.0,6.790706506224625e-14,6.285418149495903e-14,368.6,5.583e-15,,,
13,18,16,net,_003_,SIGNAL,12,111800.0,6.790706506224625e-14,6.285418149495903e-14,368.6,5.583e-15,,,
14,18,17,net,_003_,SIGNAL,12,111800.0,6.790706506224625e-14,6.285418149495903e-14,368.6,5.583e-15,,,
15,20,19,net,_004_,SIGNAL,1,2340.0,1.2544947583991925e-15,1.176546657307234e-15,14.68,1.142e-16,,,
16,22,21,net,_005_,SIGNAL,1,12320.0,1.885089188289864e-15,1.807141193077024e-15,42.5,7.448e-16,,,
17,24,23,net,_006_,SIGNAL,1,7980.0,1.4993623484506357e-15,1.4214143532377955e-15,25.0,3.591e-16,,,
18,26,25,net,_007_,SIGNAL,1,4890.0,1.3642763693522174e-15,1.2863283741393772e-15,19.48,2.24e-16,,,
19,28,27,net,_008_,SIGNAL,1,5600.0,1.5413774060959355e-15,1.4634294108830954e-15,30.5,4.011e-16,,,
20,30,29,net,_009_,SIGNAL,1,5760.0,1.4452108968579578e-15,1.3672629016451177e-15,30.79,3.049e-16,,,
21,32,31,net,_010_,SIGNAL,1,1960.0,1.2435730096981771e-15,1.165625014485337e-15,13.75,1.033e-16,,,
22,34,33,net,_011_,SIGNAL,1,6900.0,1.5635611989845257e-15,1.4856132037716855e-15,33.07,4.233e-16,,,
23,36,35,net,_012_,SIGNAL,1,5660.0,1.4041543628715947e-15,1.3262063676587545e-15,30.86,2.639e-16,,,
24,38,37,net,_013_,SIGNAL,1,11740.0,1.6887001525459815e-15,1.6107521573331413e-15,41.71,5.484e-16,,,
25,40,39,net,_014_,SIGNAL,1,5700.0,1.4194041322957243e-15,1.341456137082884e-15,30.43,2.791e-16,,,
26,42,41,net,_015_,SIGNAL,1,5320.0,1.3960781154777617e-15,1.3181301202649215e-15,19.75,2.558e-16,,,
27,44,43,net,_016_,SIGNAL,1,7760.0,1.5011338119806997e-15,1.4231858167678595e-15,34.36,3.608e-16,,,
28,46,45,net,_017_,SIGNAL,1,8440.0,1.5284803765619232e-15,1.450532381349083e-15,26.82,3.882e-16,,,
29,48,47,net,_018_,SIGNAL,1,6380.0,1.4274799561730836e-15,1.3495319609602434e-15,22.39,2.872e-16,,,
30,50,49,net,_019_,SIGNAL,1,7200.0,1.6339557778902256e-15,1.556007676798267e-15,33.86,4.937e-16,,,
31,52,51,net,_020_,SIGNAL,1,6080.0,1.4095980318653612e-15,1.3316499307734026e-15,21.61,2.693e-16,,,
32,54,53,net,_021_,SIGNAL,1,3840.0,1.3275804668574378e-15,1.2496324716445976e-15,17.36,1.873e-16,,,
33,56,55,net,_022_,SIGNAL,1,5420.0,1.4195466455890998e-15,1.3415985444971412e-15,20.18,2.793e-16,,,
34,58,57,net,_023_,SIGNAL,1,7020.0,1.5457383552248743e-15,1.4677903600120341e-15,33.04,4.054e-16,,,
35,60,59,net,_024_,SIGNAL,1,1960.0,1.2436547483775872e-15,1.165706753164747e-15,13.75,1.034e-16,,,
36,62,61,net,_025_,SIGNAL,1,2180.0,1.2832209278932564e-15,1.2052729326804163e-15,24.39,1.429e-16,,,
37,64,63,net,_026_,SIGNAL,1,2800.0,1.304241638666148e-15,1.2262936434533078e-15,15.25,1.64e-16,,,
38,66,65,net,_027_,SIGNAL,1,2340.0,1.2615716127943838e-15,1.1836236175815436e-15,14.68,1.213e-16,,,
39,68,67,net,_028_,SIGNAL,1,4980.0,1.4196564422348876e-15,1.3417084470220475e-15,29.64,2.794e-16,,,
40,70,69,net,_029_,SIGNAL,1,7400.0,1.6432187184431618e-15,1.5652707232303217e-15,33.71,5.029e-16,,,
41,72,71,net,_030_,SIGNAL,1,2180.0,1.2777709061523855e-15,1.1998229109395453e-15,24.39,1.375e-16,,,
42,74,73,net,_031_,SIGNAL,1,5380.0,1.5216644083144862e-15,1.443716413101646e-15,30.11,3.814e-16,,,
43,76,75,net,_032_,SIGNAL,1,3460.0,1.2876100408676914e-15,1.2096620456548512e-15,16.68,1.473e-16,,,
44,78,77,net,_033_,SIGNAL,1,2340.0,1.2626829200211814e-15,1.1847349248083412e-15,14.68,1.224e-16,,,
45,80,79,net,_034_,SIGNAL,1,2800.0,1.283861390680499e-15,1.205913395467659e-15,15.25,1.436e-16,,,
46,82,81,net,_035_,SIGNAL,1,5760.0,1.5008849960524437e-15,1.4229368949604851e-15,30.79,3.606e-16,,,
47,85,83,net,_036_,SIGNAL,2,11580.0,3.789406024482401e-15,3.691317068091511e-15,52.18,6.001e-16,,,
48,85,84,net,_036_,SIGNAL,2,11580.0,3.789406024482401e-15,3.691317068091511e-15,52.18,6.001e-16,,,
49,87,86,net,req_msg[24],SIGNAL,1,13440.0,1.6421923262693264e-15,1.5427832690301409e-15,30.34,6.675e-16,,,
50,89,88,net,req_msg[23],SIGNAL,1,11200.0,1.5504489172027923e-15,1.4510398599636067e-15,28.08,5.758e-16,,,
51,91,90,net,req_msg[22],SIGNAL,1,10220.0,1.4783194030628787e-15,1.3789103458236932e-15,27.78,5.037e-16,,,
52,93,92,net,_040_,SIGNAL,1,5900.0,1.961225803545001e-15,1.809083651383315e-15,21.29,2.905e-16,,,
53,96,94,net,_041_,SIGNAL,2,9620.0,4.4766881343680665e-15,4.251360006223004e-15,48.18,4.489e-16,,,
54,96,95,net,_041_,SIGNAL,2,9620.0,4.4766881343680665e-15,4.251360006223004e-15,48.18,4.489e-16,,,
55,99,97,net,_042_,SIGNAL,2,31100.0,8.677820357368311e-15,8.321467667227796e-15,88.54,1.748e-15,,,
56,99,98,net,_042_,SIGNAL,2,31100.0,8.677820357368311e-15,8.321467667227796e-15,88.54,1.748e-15,,,
57,102,100,net,_043_,SIGNAL,2,16680.0,7.965441084771974e-15,7.60908839463146e-15,66.54,1.036e-15,,,
58,102,101,net,_043_,SIGNAL,2,16680.0,7.965441084771974e-15,7.60908839463146e-15,66.54,1.036e-15,,,
59,105,103,net,_044_,SIGNAL,2,24580.0,5.5997064386944465e-15,5.374378310549384e-15,77.47,1.572e-15,,,
60,105,104,net,_044_,SIGNAL,2,24580.0,5.5997064386944465e-15,5.374378310549384e-15,77.47,1.572e-15,,,
61,107,106,net,_045_,SIGNAL,1,22620.0,3.054444006479317e-15,2.691373921550602e-15,61.64,1.291e-15,,,
62,111,108,net,_046_,SIGNAL,3,25180.0,6.123553541407395e-15,5.823246056771382e-15,93.21,1.272e-15,,,
63,111,109,net,_046_,SIGNAL,3,25180.0,6.123553541407395e-15,5.823246056771382e-15,93.21,1.272e-15,,,
64,111,110,net,_046_,SIGNAL,3,25180.0,6.123553541407395e-15,5.823246056771382e-15,93.21,1.272e-15,,,
65,114,112,net,_047_,SIGNAL,2,23460.0,5.656919279116738e-15,4.96307012279101e-15,67.18,1.389e-15,,,
66,114,113,net,_047_,SIGNAL,2,23460.0,5.656919279116738e-15,4.96307012279101e-15,67.18,1.389e-15,,,
67,117,115,net,_048_,SIGNAL,2,9020.0,8.17941092461083e-15,7.735199742016363e-15,47.36,5.214e-16,,,
68,117,116,net,_048_,SIGNAL,2,9020.0,8.17941092461083e-15,7.735199742016363e-15,47.36,5.214e-16,,,
69,119,118,net,_049_,SIGNAL,1,28560.0,3.1146748252926758e-15,3.0510948382058735e-15,71.75,1.498e-15,,,
70,121,120,net,_050_,SIGNAL,1,13000.0,2.3809050061628523e-15,2.3110688337276298e-15,48.08,7.819e-16,,,
71,126,122,net,_051_,SIGNAL,4,27860.0,8.217508772512434e-15,7.822935414692964e-15,107.8,1.616e-15,,,
72,126,123,net,_051_,SIGNAL,4,27860.0,8.217508772512434e-15,7.822935414692964e-15,107.8,1.616e-15,,,
73,126,124,net,_051_,SIGNAL,4,27860.0,8.217508772512434e-15,7.822935414692964e-15,107.8,1.616e-15,,,
74,126,125,net,_051_,SIGNAL,4,27860.0,8.217508772512434e-15,7.822935414692964e-15,107.8,1.616e-15,,,
75,129,127,net,_052_,SIGNAL,2,15760.0,4.9976506663791404e-15,4.7723229617505514e-15,59.14,9.699e-16,,,
76,129,128,net,_052_,SIGNAL,2,15760.0,4.9976506663791404e-15,4.7723229617505514e-15,59.14,9.699e-16,,,
