path_id,startpoint,endpoint,path_group,data_arrival_time_s,required_time_s,slack_s,rank
gcd__clk506ps__abc0__pd500__rlabase__path0001,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[13],core_clock,6.934e-10,4.048e-10,-2.886e-10,1
gcd__clk506ps__abc0__pd500__rlabase__path0002,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[14],core_clock,6.919e-10,4.048e-10,-2.871e-10,2
gcd__clk506ps__abc0__pd500__rlabase__path0003,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[12],core_clock,6.827e-10,4.048e-10,-2.779e-10,3
gcd__clk506ps__abc0__pd500__rlabase__path0004,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[15],core_clock,6.772e-10,4.048e-10,-2.724e-10,4
gcd__clk506ps__abc0__pd500__rlabase__path0005,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[10],core_clock,6.714e-10,4.048e-10,-2.666e-10,5
gcd__clk506ps__abc0__pd500__rlabase__path0006,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[11],core_clock,6.67e-10,4.048e-10,-2.622e-10,6
gcd__clk506ps__abc0__pd500__rlabase__path0007,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[10]$_DFFE_PP_/D,core_clock,7.953e-10,5.403e-10,-2.549e-10,7
gcd__clk506ps__abc0__pd500__rlabase__path0008,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[5]$_DFFE_PP_/D,core_clock,7.938e-10,5.404e-10,-2.534e-10,8
gcd__clk506ps__abc0__pd500__rlabase__path0009,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[2]$_DFFE_PP_/D,core_clock,7.95e-10,5.416e-10,-2.534e-10,9
gcd__clk506ps__abc0__pd500__rlabase__path0010,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[9]$_DFFE_PP_/D,core_clock,7.939e-10,5.407e-10,-2.532e-10,10
gcd__clk506ps__abc0__pd500__rlabase__path0011,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[13]$_DFFE_PP_/D,core_clock,7.932e-10,5.403e-10,-2.53e-10,11
gcd__clk506ps__abc0__pd500__rlabase__path0012,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[1]$_DFFE_PP_/D,core_clock,7.944e-10,5.416e-10,-2.528e-10,12
gcd__clk506ps__abc0__pd500__rlabase__path0013,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[15]$_DFFE_PP_/D,core_clock,7.927e-10,5.399e-10,-2.528e-10,13
gcd__clk506ps__abc0__pd500__rlabase__path0014,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[10]$_DFFE_PP_/D,core_clock,7.931e-10,5.408e-10,-2.523e-10,14
gcd__clk506ps__abc0__pd500__rlabase__path0015,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[11]$_DFFE_PP_/D,core_clock,7.93e-10,5.409e-10,-2.522e-10,15
gcd__clk506ps__abc0__pd500__rlabase__path0016,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[8]$_DFFE_PP_/D,core_clock,7.925e-10,5.406e-10,-2.518e-10,16
gcd__clk506ps__abc0__pd500__rlabase__path0017,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[4]$_DFFE_PP_/D,core_clock,7.937e-10,5.422e-10,-2.515e-10,17
gcd__clk506ps__abc0__pd500__rlabase__path0018,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[14]$_DFFE_PP_/D,core_clock,7.897e-10,5.401e-10,-2.496e-10,18
gcd__clk506ps__abc0__pd500__rlabase__path0019,dpath.b_reg.out[4]$_DFFE_PP_/Q,dpath.b_reg.out[12]$_DFFE_PP_/D,core_clock,7.896e-10,5.403e-10,-2.493e-10,19
