run_id,design,flow_design,clock_scale,clock_period_ns,abc_area,place_density,routing_layer_adjustment,scenario_id,scenario_mode,scenario_pvt,scenario_rc,clock_uncertainty_ns,timing_derate_late,timing_derate_early,input_delay_scale,output_delay_scale,variant,sdc_file,status,last_error,last_update_utc
tinyRocket__clk1080ps__abc0__pd440__rlabase,tinyRocket,tinyRocket,0.9,1.08,0,0.44,,base,func,typical,typ,,,,,,tinyRocket__clk1080ps__abc0__pd440__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/tinyRocket/constraint_clk1080ps.sdc,success,,2026-03-02T11:27:06+00:00
tinyRocket__clk1080ps__abc0__pd440__rla035,tinyRocket,tinyRocket,0.9,1.08,0,0.44,0.35,base,func,typical,typ,,,,,,tinyRocket__clk1080ps__abc0__pd440__rla035,/home/smscott/GNN_STA/configs/sdc_generated/tinyRocket/constraint_clk1080ps.sdc,success,,2026-03-02T11:27:28+00:00
tinyRocket__clk1080ps__abc0__pd500__rlabase,tinyRocket,tinyRocket,0.9,1.08,0,0.5,,base,func,typical,typ,,,,,,tinyRocket__clk1080ps__abc0__pd500__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/tinyRocket/constraint_clk1080ps.sdc,success,,2026-03-02T11:27:50+00:00
tinyRocket__clk1080ps__abc0__pd500__rla035,tinyRocket,tinyRocket,0.9,1.08,0,0.5,0.35,base,func,typical,typ,,,,,,tinyRocket__clk1080ps__abc0__pd500__rla035,/home/smscott/GNN_STA/configs/sdc_generated/tinyRocket/constraint_clk1080ps.sdc,success,,2026-03-02T11:28:12+00:00
tinyRocket__clk1080ps__abc0__pd560__rlabase,tinyRocket,tinyRocket,0.9,1.08,0,0.56,,base,func,typical,typ,,,,,,tinyRocket__clk1080ps__abc0__pd560__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/tinyRocket/constraint_clk1080ps.sdc,success,,2026-03-02T11:28:33+00:00
tinyRocket__clk1080ps__abc0__pd560__rla035,tinyRocket,tinyRocket,0.9,1.08,0,0.56,0.35,base,func,typical,typ,,,,,,tinyRocket__clk1080ps__abc0__pd560__rla035,/home/smscott/GNN_STA/configs/sdc_generated/tinyRocket/constraint_clk1080ps.sdc,success,,2026-03-02T11:28:53+00:00
tinyRocket__clk1080ps__abc1__pd440__rlabase,tinyRocket,tinyRocket,0.9,1.08,1,0.44,,base,func,typical,typ,,,,,,tinyRocket__clk1080ps__abc1__pd440__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/tinyRocket/constraint_clk1080ps.sdc,success,,2026-03-02T11:29:19+00:00
tinyRocket__clk1080ps__abc1__pd440__rla035,tinyRocket,tinyRocket,0.9,1.08,1,0.44,0.35,base,func,typical,typ,,,,,,tinyRocket__clk1080ps__abc1__pd440__rla035,/home/smscott/GNN_STA/configs/sdc_generated/tinyRocket/constraint_clk1080ps.sdc,success,,2026-03-02T11:29:43+00:00
tinyRocket__clk1080ps__abc1__pd500__rlabase,tinyRocket,tinyRocket,0.9,1.08,1,0.5,,base,func,typical,typ,,,,,,tinyRocket__clk1080ps__abc1__pd500__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/tinyRocket/constraint_clk1080ps.sdc,success,,2026-03-02T11:30:07+00:00
tinyRocket__clk1080ps__abc1__pd500__rla035,tinyRocket,tinyRocket,0.9,1.08,1,0.5,0.35,base,func,typical,typ,,,,,,tinyRocket__clk1080ps__abc1__pd500__rla035,/home/smscott/GNN_STA/configs/sdc_generated/tinyRocket/constraint_clk1080ps.sdc,success,,2026-03-02T11:30:33+00:00
