path_id,startpoint,endpoint,path_group,data_arrival_time_s,required_time_s,slack_s,rank
gcd__clk414ps__abc1__pd560__rlabase__path0001,dpath.a_reg.out[10]$_DFFE_PP_/Q,resp_msg[12],core_clock,4.278e-10,3.312e-10,-9.656e-11,1
gcd__clk414ps__abc1__pd560__rlabase__path0002,dpath.a_reg.out[10]$_DFFE_PP_/Q,resp_msg[14],core_clock,4.241e-10,3.312e-10,-9.293e-11,2
gcd__clk414ps__abc1__pd560__rlabase__path0003,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[11],core_clock,4.184e-10,3.312e-10,-8.721e-11,3
gcd__clk414ps__abc1__pd560__rlabase__path0004,dpath.b_reg.out[11]$_DFFE_PP_/Q,resp_msg[15],core_clock,4.184e-10,3.312e-10,-8.717e-11,4
gcd__clk414ps__abc1__pd560__rlabase__path0005,dpath.b_reg.out[7]$_DFFE_PP_/Q,resp_msg[13],core_clock,4.176e-10,3.312e-10,-8.637e-11,5
gcd__clk414ps__abc1__pd560__rlabase__path0006,dpath.a_reg.out[4]$_DFFE_PP_/Q,resp_msg[9],core_clock,4.163e-10,3.312e-10,-8.506e-11,6
gcd__clk414ps__abc1__pd560__rlabase__path0007,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[7],core_clock,4.146e-10,3.312e-10,-8.34e-11,7
gcd__clk414ps__abc1__pd560__rlabase__path0008,dpath.a_reg.out[3]$_DFFE_PP_/Q,resp_msg[6],core_clock,4.141e-10,3.312e-10,-8.293e-11,8
gcd__clk414ps__abc1__pd560__rlabase__path0009,dpath.a_reg.out[3]$_DFFE_PP_/Q,resp_msg[8],core_clock,4.137e-10,3.312e-10,-8.251e-11,9
gcd__clk414ps__abc1__pd560__rlabase__path0010,dpath.a_reg.out[8]$_DFFE_PP_/Q,resp_msg[10],core_clock,4.079e-10,3.312e-10,-7.67e-11,10
gcd__clk414ps__abc1__pd560__rlabase__path0011,dpath.a_reg.out[1]$_DFFE_PP_/Q,resp_msg[3],core_clock,3.927e-10,3.312e-10,-6.153e-11,11
