path_id,startpoint,endpoint,path_group,data_arrival_time_s,required_time_s,slack_s,rank
aes__clk820ps__abc0__pd500__rlabase__path0080,sa30_sr[4]$_DFF_P_/Q,sa22_sr[3]$_DFF_P_/D,clk,9.385e-10,9.653e-10,2.672e-11,80
aes__clk820ps__abc0__pd500__rlabase__path0081,sa12_sr[3]$_DFF_P_/Q,sa02_sr[3]$_DFF_P_/D,clk,9.358e-10,9.628e-10,2.705e-11,81
aes__clk820ps__abc0__pd500__rlabase__path0082,sa21_sr[2]$_DFF_P_/Q,sa10_sr[7]$_DFF_P_/D,clk,9.457e-10,9.732e-10,2.745e-11,82
aes__clk820ps__abc0__pd500__rlabase__path0083,sa21_sr[2]$_DFF_P_/Q,sa10_sr[5]$_DFF_P_/D,clk,9.47e-10,9.747e-10,2.77e-11,83
aes__clk820ps__abc0__pd500__rlabase__path0084,sa21_sr[2]$_DFF_P_/Q,sa23_sr[3]$_DFF_P_/D,clk,9.404e-10,9.683e-10,2.792e-11,84
aes__clk820ps__abc0__pd500__rlabase__path0085,sa13_sr[0]$_DFF_P_/Q,sa03_sr[0]$_DFF_P_/D,clk,9.36e-10,9.646e-10,2.855e-11,85
aes__clk820ps__abc0__pd500__rlabase__path0086,sa13_sr[0]$_DFF_P_/Q,sa12_sr[6]$_DFF_P_/D,clk,9.445e-10,9.738e-10,2.931e-11,86
aes__clk820ps__abc0__pd500__rlabase__path0087,ld_r$_DFF_P_/Q,sa32_sr[1]$_DFF_P_/D,clk,9.404e-10,9.707e-10,3.032e-11,87
aes__clk820ps__abc0__pd500__rlabase__path0088,sa21_sr[2]$_DFF_P_/Q,sa10_sr[6]$_DFF_P_/D,clk,9.416e-10,9.722e-10,3.055e-11,88
aes__clk820ps__abc0__pd500__rlabase__path0089,sa00_sr[1]$_DFF_P_/Q,sa31_sr[5]$_DFF_P_/D,clk,9.417e-10,9.734e-10,3.169e-11,89
aes__clk820ps__abc0__pd500__rlabase__path0090,sa21_sr[4]$_DFF_P_/Q,sa32_sr[4]$_DFF_P_/D,clk,9.487e-10,9.805e-10,3.174e-11,90
aes__clk820ps__abc0__pd500__rlabase__path0091,sa20_sr[1]$_DFF_P_/Q,sa13_sr[3]$_DFF_P_/D,clk,9.463e-10,9.781e-10,3.175e-11,91
aes__clk820ps__abc0__pd500__rlabase__path0092,ld_r$_DFF_P_/Q,sa30_sr[1]$_DFF_P_/D,clk,9.414e-10,9.739e-10,3.247e-11,92
aes__clk820ps__abc0__pd500__rlabase__path0093,sa03_sr[7]$_DFF_P_/Q,sa30_sr[4]$_DFF_P_/D,clk,9.471e-10,9.8e-10,3.287e-11,93
aes__clk820ps__abc0__pd500__rlabase__path0094,sa30_sr[4]$_DFF_P_/Q,sa31_sr[4]$_DFF_P_/D,clk,9.366e-10,9.699e-10,3.325e-11,94
aes__clk820ps__abc0__pd500__rlabase__path0095,sa21_sr[4]$_DFF_P_/Q,sa01_sr[5]$_DFF_P_/D,clk,9.371e-10,9.705e-10,3.338e-11,95
aes__clk820ps__abc0__pd500__rlabase__path0096,sa00_sr[7]$_DFF_P_/Q,sa00_sr[5]$_DFF_P_/D,clk,9.431e-10,9.765e-10,3.339e-11,96
aes__clk820ps__abc0__pd500__rlabase__path0097,sa03_sr[7]$_DFF_P_/Q,sa30_sr[7]$_DFF_P_/D,clk,9.327e-10,9.664e-10,3.369e-11,97
aes__clk820ps__abc0__pd500__rlabase__path0098,ld_r$_DFF_P_/Q,sa22_sr[5]$_DFF_P_/D,clk,9.36e-10,9.697e-10,3.373e-11,98
aes__clk820ps__abc0__pd500__rlabase__path0099,ld_r$_DFF_P_/Q,sa23_sr[1]$_DFF_P_/D,clk,9.379e-10,9.719e-10,3.395e-11,99
aes__clk820ps__abc0__pd500__rlabase__path0100,sa20_sr[7]$_DFF_P_/Q,sa13_sr[2]$_DFF_P_/D,clk,9.441e-10,9.785e-10,3.431e-11,100
aes__clk820ps__abc0__pd500__rlabase__path0101,sa20_sr[7]$_DFF_P_/Q,sa13_sr[4]$_DFF_P_/D,clk,9.493e-10,9.847e-10,3.534e-11,101
aes__clk820ps__abc0__pd500__rlabase__path0102,sa13_sr[2]$_DFF_P_/Q,sa03_sr[5]$_DFF_P_/D,clk,9.335e-10,9.692e-10,3.568e-11,102
