path_id,startpoint,endpoint,path_group,data_arrival_time_s,required_time_s,slack_s,rank
aes__clk738ps__abc0__pd500__rla035__path0034,sa21_sr[7]$_DFF_P_/Q,sa23_sr[4]$_DFF_P_/D,clk,9.188e-10,8.876e-10,-3.119e-11,34
aes__clk738ps__abc0__pd500__rla035__path0035,sa01_sr[3]$_DFF_P_/Q,sa32_sr[6]$_DFF_P_/D,clk,9.353e-10,9.047e-10,-3.063e-11,35
aes__clk738ps__abc0__pd500__rla035__path0036,u0.r0.out[24]$_SDFF_PP1_/Q,u0.u3.d[4]$_DFF_P_/D,clk,9.151e-10,8.853e-10,-2.983e-11,36
aes__clk738ps__abc0__pd500__rla035__path0037,sa21_sr[4]$_DFF_P_/Q,sa01_sr[1]$_DFF_P_/D,clk,9.225e-10,8.927e-10,-2.982e-11,37
aes__clk738ps__abc0__pd500__rla035__path0038,sa21_sr[7]$_DFF_P_/Q,sa23_sr[3]$_DFF_P_/D,clk,9.179e-10,8.882e-10,-2.972e-11,38
aes__clk738ps__abc0__pd500__rla035__path0039,sa30_sr[1]$_DFF_P_/Q,sa13_sr[4]$_DFF_P_/D,clk,9.225e-10,8.929e-10,-2.955e-11,39
aes__clk738ps__abc0__pd500__rla035__path0040,sa30_sr[1]$_DFF_P_/Q,sa00_sr[6]$_DFF_P_/D,clk,9.22e-10,8.925e-10,-2.945e-11,40
aes__clk738ps__abc0__pd500__rla035__path0041,sa31_sr[4]$_DFF_P_/Q,sa10_sr[0]$_DFF_P_/D,clk,9.227e-10,8.934e-10,-2.929e-11,41
aes__clk738ps__abc0__pd500__rla035__path0042,sa12_sr[7]$_DFF_P_/Q,sa11_sr[7]$_DFF_P_/D,clk,9.198e-10,8.905e-10,-2.929e-11,42
aes__clk738ps__abc0__pd500__rla035__path0043,sa12_sr[3]$_DFF_P_/Q,sa33_sr[5]$_DFF_P_/D,clk,9.166e-10,8.881e-10,-2.851e-11,43
aes__clk738ps__abc0__pd500__rla035__path0044,sa30_sr[7]$_DFF_P_/Q,sa31_sr[4]$_DFF_P_/D,clk,9.143e-10,8.858e-10,-2.841e-11,44
aes__clk738ps__abc0__pd500__rla035__path0045,sa12_sr[7]$_DFF_P_/Q,sa02_sr[6]$_DFF_P_/D,clk,9.22e-10,8.943e-10,-2.767e-11,45
aes__clk738ps__abc0__pd500__rla035__path0046,sa31_sr[4]$_DFF_P_/Q,sa10_sr[1]$_DFF_P_/D,clk,9.166e-10,8.894e-10,-2.726e-11,46
aes__clk738ps__abc0__pd500__rla035__path0047,sa12_sr[3]$_DFF_P_/Q,sa33_sr[6]$_DFF_P_/D,clk,9.191e-10,8.927e-10,-2.636e-11,47
aes__clk738ps__abc0__pd500__rla035__path0048,sa13_sr[3]$_DFF_P_/Q,sa21_sr[4]$_DFF_P_/D,clk,9.24e-10,8.978e-10,-2.618e-11,48
aes__clk738ps__abc0__pd500__rla035__path0049,sa31_sr[4]$_DFF_P_/Q,sa10_sr[3]$_DFF_P_/D,clk,9.157e-10,8.905e-10,-2.512e-11,49
aes__clk738ps__abc0__pd500__rla035__path0050,sa30_sr[4]$_DFF_P_/Q,sa13_sr[6]$_DFF_P_/D,clk,9.134e-10,8.884e-10,-2.504e-11,50
aes__clk738ps__abc0__pd500__rla035__path0051,sa21_sr[7]$_DFF_P_/Q,sa10_sr[5]$_DFF_P_/D,clk,9.273e-10,9.028e-10,-2.452e-11,51
aes__clk738ps__abc0__pd500__rla035__path0052,sa30_sr[1]$_DFF_P_/Q,sa00_sr[2]$_DFF_P_/D,clk,9.18e-10,8.935e-10,-2.448e-11,52
aes__clk738ps__abc0__pd500__rla035__path0053,sa12_sr[3]$_DFF_P_/Q,sa02_sr[0]$_DFF_P_/D,clk,9.154e-10,8.909e-10,-2.447e-11,53
aes__clk738ps__abc0__pd500__rla035__path0054,sa21_sr[7]$_DFF_P_/Q,sa10_sr[7]$_DFF_P_/D,clk,9.144e-10,8.903e-10,-2.419e-11,54
aes__clk738ps__abc0__pd500__rla035__path0055,sa32_sr[1]$_DFF_P_/Q,sa33_sr[2]$_DFF_P_/D,clk,9.065e-10,8.825e-10,-2.401e-11,55
aes__clk738ps__abc0__pd500__rla035__path0056,sa13_sr[7]$_DFF_P_/Q,sa12_sr[6]$_DFF_P_/D,clk,9.196e-10,8.959e-10,-2.379e-11,56
aes__clk738ps__abc0__pd500__rla035__path0057,sa20_sr[1]$_DFF_P_/Q,sa31_sr[7]$_DFF_P_/D,clk,9.232e-10,9.001e-10,-2.31e-11,57
aes__clk738ps__abc0__pd500__rla035__path0058,sa02_sr[7]$_DFF_P_/Q,sa02_sr[5]$_DFF_P_/D,clk,9.24e-10,9.01e-10,-2.3e-11,58
aes__clk738ps__abc0__pd500__rla035__path0059,sa30_sr[7]$_DFF_P_/Q,sa31_sr[6]$_DFF_P_/D,clk,9.222e-10,8.995e-10,-2.272e-11,59
aes__clk738ps__abc0__pd500__rla035__path0060,sa21_sr[1]$_DFF_P_/Q,sa32_sr[0]$_DFF_P_/D,clk,9.15e-10,8.923e-10,-2.272e-11,60
aes__clk738ps__abc0__pd500__rla035__path0061,sa13_sr[3]$_DFF_P_/Q,sa30_sr[0]$_DFF_P_/D,clk,9.065e-10,8.845e-10,-2.201e-11,61
aes__clk738ps__abc0__pd500__rla035__path0062,sa31_sr[4]$_DFF_P_/Q,sa10_sr[4]$_DFF_P_/D,clk,9.195e-10,8.977e-10,-2.183e-11,62
aes__clk738ps__abc0__pd500__rla035__path0063,sa13_sr[3]$_DFF_P_/Q,sa30_sr[2]$_DFF_P_/D,clk,9.23e-10,9.013e-10,-2.177e-11,63
aes__clk738ps__abc0__pd500__rla035__path0064,sa21_sr[7]$_DFF_P_/Q,sa23_sr[6]$_DFF_P_/D,clk,9.119e-10,8.904e-10,-2.153e-11,64
aes__clk738ps__abc0__pd500__rla035__path0065,sa30_sr[4]$_DFF_P_/Q,sa13_sr[1]$_DFF_P_/D,clk,9.068e-10,8.857e-10,-2.109e-11,65
aes__clk738ps__abc0__pd500__rla035__path0066,u0.w[1][28]$_DFF_P_/Q,u0.u3.d[0]$_DFF_P_/D,clk,9.179e-10,8.972e-10,-2.069e-11,66
aes__clk738ps__abc0__pd500__rla035__path0067,sa30_sr[1]$_DFF_P_/Q,sa00_sr[1]$_DFF_P_/D,clk,9.16e-10,8.955e-10,-2.054e-11,67
