path_id,startpoint,endpoint,path_group,data_arrival_time_s,required_time_s,slack_s,rank
aes__clk902ps__abc0__pd560__rla035__path0001,sa13_sr[7]$_DFF_P_/Q,sa03_sr[0]$_DFF_P_/D,clk,1.009e-09,1.044e-09,3.532e-11,1
aes__clk902ps__abc0__pd560__rla035__path0002,sa23_sr[2]$_DFF_P_/Q,sa21_sr[0]$_DFF_P_/D,clk,1.02e-09,1.056e-09,3.613e-11,2
aes__clk902ps__abc0__pd560__rla035__path0003,sa00_sr[7]$_DFF_P_/Q,sa00_sr[3]$_DFF_P_/D,clk,1.003e-09,1.042e-09,3.891e-11,3
aes__clk902ps__abc0__pd560__rla035__path0004,sa00_sr[7]$_DFF_P_/Q,sa00_sr[5]$_DFF_P_/D,clk,1.015e-09,1.056e-09,4.18e-11,4
aes__clk902ps__abc0__pd560__rla035__path0005,sa00_sr[7]$_DFF_P_/Q,sa00_sr[2]$_DFF_P_/D,clk,1.011e-09,1.055e-09,4.333e-11,5
aes__clk902ps__abc0__pd560__rla035__path0006,sa12_sr[1]$_DFF_P_/Q,sa33_sr[2]$_DFF_P_/D,clk,9.985e-10,1.042e-09,4.385e-11,6
aes__clk902ps__abc0__pd560__rla035__path0007,sa12_sr[1]$_DFF_P_/Q,sa33_sr[1]$_DFF_P_/D,clk,1e-09,1.045e-09,4.432e-11,7
aes__clk902ps__abc0__pd560__rla035__path0008,sa00_sr[7]$_DFF_P_/Q,sa00_sr[4]$_DFF_P_/D,clk,1.002e-09,1.047e-09,4.471e-11,8
aes__clk902ps__abc0__pd560__rla035__path0009,sa30_sr[7]$_DFF_P_/Q,sa31_sr[7]$_DFF_P_/D,clk,9.999e-10,1.046e-09,4.609e-11,9
aes__clk902ps__abc0__pd560__rla035__path0010,sa00_sr[7]$_DFF_P_/Q,sa00_sr[6]$_DFF_P_/D,clk,1e-09,1.048e-09,4.754e-11,10
aes__clk902ps__abc0__pd560__rla035__path0011,sa23_sr[0]$_DFF_P_/Q,sa21_sr[1]$_DFF_P_/D,clk,1e-09,1.048e-09,4.757e-11,11
aes__clk902ps__abc0__pd560__rla035__path0012,sa13_sr[7]$_DFF_P_/Q,sa03_sr[6]$_DFF_P_/D,clk,9.944e-10,1.043e-09,4.865e-11,12
aes__clk902ps__abc0__pd560__rla035__path0013,sa30_sr[7]$_DFF_P_/Q,sa22_sr[7]$_DFF_P_/D,clk,1.002e-09,1.051e-09,4.881e-11,13
aes__clk902ps__abc0__pd560__rla035__path0014,sa00_sr[7]$_DFF_P_/Q,sa00_sr[7]$_DFF_P_/D,clk,9.989e-10,1.049e-09,4.978e-11,14
aes__clk902ps__abc0__pd560__rla035__path0015,sa13_sr[7]$_DFF_P_/Q,sa12_sr[7]$_DFF_P_/D,clk,1.009e-09,1.061e-09,5.22e-11,15
aes__clk902ps__abc0__pd560__rla035__path0016,sa13_sr[7]$_DFF_P_/Q,sa12_sr[0]$_DFF_P_/D,clk,1.004e-09,1.056e-09,5.232e-11,16
aes__clk902ps__abc0__pd560__rla035__path0017,sa33_sr[7]$_DFF_P_/Q,sa30_sr[5]$_DFF_P_/D,clk,1.007e-09,1.06e-09,5.304e-11,17
aes__clk902ps__abc0__pd560__rla035__path0018,sa30_sr[7]$_DFF_P_/Q,sa31_sr[0]$_DFF_P_/D,clk,9.934e-10,1.048e-09,5.427e-11,18
aes__clk902ps__abc0__pd560__rla035__path0019,sa13_sr[7]$_DFF_P_/Q,sa12_sr[3]$_DFF_P_/D,clk,1.006e-09,1.061e-09,5.43e-11,19
aes__clk902ps__abc0__pd560__rla035__path0020,sa30_sr[7]$_DFF_P_/Q,sa31_sr[4]$_DFF_P_/D,clk,9.964e-10,1.051e-09,5.507e-11,20
aes__clk902ps__abc0__pd560__rla035__path0021,sa13_sr[7]$_DFF_P_/Q,sa03_sr[3]$_DFF_P_/D,clk,9.894e-10,1.046e-09,5.621e-11,21
aes__clk902ps__abc0__pd560__rla035__path0022,sa13_sr[7]$_DFF_P_/Q,sa12_sr[1]$_DFF_P_/D,clk,1.008e-09,1.066e-09,5.773e-11,22
aes__clk902ps__abc0__pd560__rla035__path0023,sa30_sr[4]$_DFF_P_/Q,sa22_sr[4]$_DFF_P_/D,clk,9.899e-10,1.048e-09,5.833e-11,23
